name,price,speed,modules,color,first_word_latency,cas_latency
Lexar Ares RGB 32 GB,114.99,"56,400","2,16",Black / Silver,10,32
Corsair Vengeance 64 GB,247.99,"56,800","2,32",Black / Gray,9.412,32
TEAMGROUP T-Create Classic 32 GB,87.99,"56,000","2,16",Black,16,48
TEAMGROUP T-Force Delta RGB 32 GB,99.99,"56,400","2,16",White,12.5,40
G.Skill Trident Z RGB 64 GB,139.99,"43,600","2,32",Black,10,18
G.Skill Trident Z Neo 256 GB,584.99,"43,200","8,32",Black / Silver,10,16
Kingston HyperX Fury 16 GB,,"43,200","2,8",Black / Silver,10,16
Corsair Vengeance RGB Pro 32 GB,92.99,"43,200","2,16",White,10,16
Corsair Dominator Platinum RGB 32 GB,174.99,"56,200","2,16",Black,11.613,36
G.Skill Ripjaws V 64 GB,3772.97,"43,400","4,16",Black,9.412,16
Corsair Dominator Titanium 96 GB,429.99,"56,600","2,48",White,9.697,32
Corsair Vengeance LPX 16 GB,45.99,"43,200","2,8",White,10,16
G.Skill Trident Z5 Neo 32 GB,116.99,"56,000","2,16",Black,10,30
Corsair Vengeance 16 GB,77.98,"31,600","2,8",Black / Yellow,11.25,9
G.Skill Trident Z5 RGB 64 GB,259.99,"56,800","2,32",Black,10,34
Kingston FURY Beast 16 GB,75.99,"56,000","2,8",Black / Silver,12,36
Kingston FURY 128 GB,457.99,"55,600","4,32",White,14.286,40
Corsair Vengeance 96 GB,345.99,"56,400","2,48",Black,10,32
TEAMGROUP Elite 32 GB,52.99,"43,200","2,16",Black,13.75,22
Kingston FURY Beast 16 GB,79.45,"55,600","2,8",Black / Silver,12.857,36
Patriot Viper Venom 32 GB,103.99,"56,400","2,16",Black / White,10,32
Corsair Vengeance RGB 32 GB,112.99,"56,400","2,16",Black,11.25,36
Corsair Vengeance 32 GB,97.99,"54,800","2,16",Black,16.667,40
Corsair Vengeance RGB 32 GB,109.99,"55,200","2,16",Black,15.385,40
Silicon Power XPOWER Turbine 32 GB,51.49,"43,200","2,16",Blue,10,16
Corsair Vengeance RGB Pro 16 GB,52.99,"43,600","2,8",Black,10,18
G.Skill Ripjaws V 32 GB,67.99,"43,600","2,16",Black,10,18
G.Skill Ripjaws S5 32 GB,109.99,"56,400","2,16",Black,10,32
G.Skill Ripjaws S5 64 GB,194.99,"55,600","2,32",Black,10,28
TEAMGROUP T-Force Delta RGB 64 GB,184.99,"56,000","2,32",White / Silver,12.667,38
G.Skill Trident Z5 RGB 48 GB,399.99,"58,400","2,24",White,9.524,40
Corsair Dominator Titanium 64 GB,359.99,"56,400","4,16",White,10,32
ADATA XPG Lancer Blade RGB 32 GB,148.03,"56,400","2,16",Black,10,32
Corsair Vengeance RGB 64 GB,227.99,"56,400","2,32",Black / Gray,10,32
G.Skill Trident Z5 Neo RGB 32 GB,124.99,"56,000","2,16",Silver / Black,10,30
TEAMGROUP T-Force Vulcan Z 16 GB,34.99,"43,200","2,8",Gray,10,16
Crucial Classic 16 GB,55.99,"55,600","2,8",Black,16.429,46
G.Skill Ripjaws V 32 GB,74.99,"44,000","2,16",Black,9,18
Silicon Power SP016GLLTU160N22 16 GB,17.98,"31,600","2,8",Green,13.75,11
TEAMGROUP T-Create Expert 32 GB,94.99,"56,000","2,16",Black,12.667,38
Kingston HyperX Fury 8 GB,50.99,"42,666","1,8",Black,12.003,16
Corsair Vengeance 32 GB,124.99,"56,000","2,16",Black / Silver,10,30
Corsair Vengeance RGB 32 GB,135.99,"56,000","2,16",White / Silver,10,30
KingBank SharpBlade 32 GB,86.99,"56,000","2,16",Black,12,36
Patriot Viper Venom 32 GB,97.99,"56,000","2,16",Black / White,12,36
TEAMGROUP T-Force Delta RGB 32 GB,121.99,"57,200","2,16",White / Gray,9.444,34
Corsair Dominator Platinum RGB 64 GB,349.99,"56,600","4,16",Black,9.697,32
Corsair Vengeance 192 GB,629.99,"55,200","4,48",Black,14.615,38
Kingston FURY Beast 16 GB,64.39,"55,200","2,8",Black,15.385,40
Corsair Vengeance LPX 64 GB,142.99,"43,600","2,32",Black,10,18
Crucial CT8G48C40U5 8 GB,22.99,"54,800","1,8",Black,16.667,40
Silicon Power XPOWER Zenith Gaming 32 GB,86.99,"56,000","2,16",Black,10,30
G.Skill Aegis 32 GB,65.98,"43,200","2,16",Red / Black,10,16
TEAMGROUP Elite 32 GB,75.98,"54,800","2,16",Black,16.667,40
G.Skill Trident Z5 RGB 48 GB,249.99,"58,000","2,24",Black,10,40
TEAMGROUP T-Create Expert 64 GB,184.99,"56,000","2,32",Black,11.333,34
Corsair Vengeance RGB 32 GB,124.99,"56,000","2,16",Black / Gray,10,30
ADATA XPG Lancer Blade RGB 32 GB,109.99,"56,000","2,16",Black,10,30
Corsair Vengeance LPX 16 GB,44.98,"43,000","2,8",Black / Yellow,10,15
Kingston Server Premier 64 GB,176.49,"43,200","1,64",,13.75,22
Crucial CT8G4DFRA32A 8 GB,19.98,"43,200","1,8",Green,13.75,22
Corsair Dominator Titanium 32 GB,167.99,"56,000","2,16",Black,10,30
Kingston FURY Beast RGB 64 GB,224.99,"56,000","2,32",Black,12,36
Corsair Vengeance 64 GB,172.99,"55,600","2,32",Black,14.286,40
G.Skill Ripjaws V 16 GB,39.99,"43,600","2,8",Black,10,18
Corsair Vengeance RGB Pro 64 GB,189.99,"43,600","4,16",Black,10,18
Corsair Vengeance 32 GB,159.99,"57,200","2,16",Gray,9.444,34
TEAMGROUP T-Force Vulcan 32 GB,87.99,"55,200","2,16",Black,15.385,40
Klevv BOLT V 32 GB,98.99,"56,000","2,16",Black,10,30
Corsair Vengeance 32 GB,99.99,"55,600","2,16",Black / Gray,14.286,40
Kingston ValueRAM 4 GB,11.99,"42,666","1,4",Green / Black,14.254,19
TEAMGROUP T-Force Delta RGB 32 GB,102.99,"56,400","2,16",Black,10,32
Crucial Pro 96 GB,259.99,"55,600","2,48",Black,16.429,46
TEAMGROUP T-Force Delta RGB 16 GB,46.99,"43,200","2,8",White,10,16
G.Skill Trident Z RGB 16 GB,54.99,"43,200","2,8",Black,10,16
Corsair Dominator Platinum RGB 64 GB,299.99,"56,800","2,32",Black,11.765,40
G.Skill Ripjaws S5 64 GB,204.99,"56,400","2,32",Black,10,32
Corsair Vengeance RGB Pro 32 GB,117.99,"43,200","4,8",Black,10,16
Corsair Vengeance RGB 32 GB,104.95,"55,600","2,16",Black / Gray,14.286,40
G.Skill Trident Z RGB 32 GB,82.98,"43,600","2,16",Black,10,18
Corsair Vengeance 96 GB,339.99,"56,000","2,48",Black / Silver,10,30
Samsung Green 8 GB,14,"42,133","1,8",Green / Black,14.065,15
ADATA XPG SPECTRIX D50 16 GB,54.99,"43,200","2,8",White,10,16
TEAMGROUP T-Create Expert 32 GB,60.99,"43,600","2,16",Gray,10,18
Corsair Vengeance 32 GB,102.99,"55,200","2,16",White,15.385,40
TEAMGROUP T-Force Delta RGB 64 GB,184.99,"56,000","2,32",Black / Silver,12.667,38
Corsair Dominator Titanium 64 GB,289.99,"56,000","2,32",White,10,30
Corsair Vengeance RGB 32 GB,117.99,"56,000","2,16",White / Silver,12,36
Supermicro MEM-DR412L-SL02-LR26 128 GB,,"42,666","1,128",Green / Black,16.504,22
TEAMGROUP Elite 16 GB,31.99,"43,200","2,8",Black,13.75,22
Kingston FURY Beast 16 GB,49,"43,600","2,8",Black,9.444,17
Kingston FURY Beast 128 GB,445.9,"55,600","4,32",White,14.286,40
Samsung M378A1K43CB2-CRC 8 GB,15.5,"42,400","1,8",Green,14.167,17
G.Skill Trident Z5 RGB 32 GB,164.99,"57,600","2,16",Black,9.474,36
Kingston ValueRAM 4 GB,22.6,"43,200","1,4",Green,13.75,22
Corsair Vengeance RGB 32 GB,159.99,"57,200","2,16",Black,9.444,34
G.Skill Trident Z5 Neo RGB 32 GB,109.99,"56,400","2,16",,10,32
TEAMGROUP T-Force Delta RGB 32 GB,104.28,"56,000","2,16",Black,12.667,38
Corsair Vengeance 32 GB,114.99,"56,000","2,16",Black,12,36
Patriot Viper Elite 5 RGB 32 GB,99.99,"56,200","2,16",White,13.548,42
Crucial Pro 64 GB,116.99,"43,200","2,32",Black / Green,13.75,22
G.Skill Trident Z5 RGB 32 GB,189.99,"57,800","2,16",Black,9.231,36
G.Skill Trident Z RGB 128 GB,294.99,"43,600","4,32",Black,10,18
G.Skill Trident Z5 Neo RGB 64 GB,214.99,"56,000","2,32",Silver / Black,10,30
TEAMGROUP T-Create Expert 32 GB,94.99,"56,400","2,16",White,10,32
Corsair Vengeance RGB 96 GB,349.99,"56,000","2,48",Black / Silver,10,30
G.Skill Ripjaws V 32 GB,84.99,"44,400","2,16",Black,8.636,19
KingBank SharpBlade RGB 32 GB,97.99,"56,400","2,16",White,10,32
Patriot Viper Venom 32 GB,112.99,"57,000","2,16",Black / White,9.143,32
Corsair Vengeance LPX 16 GB,44.99,"42,666","2,8",White,12.003,16
Samsung M378A2K43CB1-CTD 16 GB,30,"42,666","1,16",Green / Black,14.254,19
Corsair Vengeance 16 GB,64.98,"55,200","1,16",Black,15.385,40
TEAMGROUP T-Create Expert 32 GB,52.99,"43,200","2,16",Gray,10,16
Crucial Ballistix 16 GB,,"43,200","2,8",Black,10,16
Corsair Dominator Titanium 96 GB,474.99,"56,000","4,24",Black,10,30
TEAMGROUP T-Force Delta RGB 32 GB,99.99,"55,600","2,16",White,11.429,32
Corsair Vengeance 64 GB,169.99,"55,200","2,32",White,15.385,40
TEAMGROUP T-Force Vulcan 32 GB,104.99,"56,400","2,16",Black / Silver,10,32
G.Skill Ripjaws X 16 GB,36.99,"31,600","2,8",Black / Red,12.5,10
Klevv BOLT X 16 GB,38.99,"43,600","2,8",Black,10,18
G.Skill Aegis 16 GB,35.99,"43,000","2,8",Black / Red,10.667,16
G.Skill Ripjaws S5 96 GB,329.99,"56,400","2,48",Black,10,32
Corsair Dominator Titanium 32 GB,199.99,"57,200","2,16",White,9.444,34
Kingston FURY Beast 32 GB,117.99,"55,600","2,16",Black,12.857,36
Corsair Vengeance LPX 16 GB,47.99,"43,600","2,8",Black / Yellow,10,18
Crucial CT64G4YFQ426S 64 GB,649.95,"42,666","1,64",Green / Black,14.254,19
Kingston FURY Beast RGB 16 GB,54.99,"43,200","2,8",Black,10,16
G.Skill Trident Z Royal 32 GB,105.99,"43,600","2,16",Silver,10.556,19
Patriot Viper Steel 32 GB,67.99,"43,200","2,16",Silver / Black,10,16
TEAMGROUP T-Create Classic 16 GB,32.49,"43,200","2,8",Silver,13.75,22
TEAMGROUP Elite 16 GB,49.99,"54,800","2,8",Black,16.667,40
Patriot Viper Steel 16 GB,43.99,"43,200","2,8",Silver / Black,10,16
G.Skill Trident Z Royal 256 GB,1499,"43,600","8,32",Gold,10,18
Patriot Viper 4 Blackout 64 GB,116.99,"43,600","2,32",Black,10,18
Patriot Viper Xtreme 5 32 GB,169.99,"58,200","2,16",Black,9.268,38
G.Skill Trident Z5 RGB 32 GB,112.99,"56,000","2,16",White / Black,10,30
G.Skill Ripjaws V 64 GB,128.99,"43,600","2,32",Black,10,18
TEAMGROUP Elite Plus 16 GB,52.99,"54,800","2,8",Black,16.667,40
Kingston FURY Beast 64 GB,219.99,"56,000","2,32",Black / Silver,12,36
Corsair Vengeance 64 GB,279.99,"56,600","4,16",Black / Gray,9.697,32
Corsair Vengeance LPX 32 GB,94.99,"43,600","2,16",Black / Yellow,8.889,16
Corsair Vengeance LPX 16 GB,39.99,"43,000","1,16",Black,10.667,16
Corsair Vengeance 32 GB,119.99,"56,000","2,16",Gray,12,36
G.Skill Trident Z5 RGB 32 GB,239.99,"58,000","2,16",Black,9.5,38
